ModelID,ScenarioID,TemperatureID,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
20,152,3,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.436569777921,651.002208593499,650.567847409076,650.133486224654,649.699125040232,650.709743064049,651.720361087866,652.730979111683,653.7415971355,654.752215159318,657.141876890892,659.531538622466,661.921200354039,664.310862085613,666.700523817187,666.362954489862,666.025385162536,665.687815835211,665.350246507885,665.01267718056
11,497,7,661.381080141616,662.980248245896,664.579416350177,666.178584454458,667.777752558738,669.376920663019,671.288875120695,673.200829578371,675.112784036048,677.024738493724,678.9366929514,680.675873962021,682.415054972642,684.154235983264,685.893416993885,687.632598004506,687.894664467332,688.156730930158,688.418797392984,688.680863855809,688.942930318635,689.107622594142,689.272314869649,689.437007145156,689.601699420663,689.76639169617,692.197038043128,694.627684390087,697.058330737045,699.488977084004,701.919623430962,704.311285806244,706.702948181526,709.094610556807,711.486272932089,713.877935307371,715.237458448664,716.596981589958,717.956504731252,719.316027872546,720.67555101384
20,320,4,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.720482233666,650.596595944641,650.472709655616,650.348823366592,650.224937077567,650.158469262955,650.092001448342,650.02553363373,649.959065819118,649.892598004506,649.812232861281,649.731867718056,649.651502574831,649.571137431606,649.490772288381,649.617634534921,649.744496781461,649.871359028001,649.998221274541,650.125083521081,651.274253266817,652.423423012552,653.572592758288,654.721762504023,655.870932249759,657.16957508851,658.468217927261,659.766860766012,661.065503604763,662.364146443515
11,478,7,661.381080141616,662.980248245896,664.579416350177,666.178584454458,667.777752558738,669.376920663019,671.288875120695,673.200829578371,675.112784036048,677.024738493724,678.9366929514,680.675873962021,682.415054972642,684.154235983264,685.893416993885,687.632598004506,687.894664467332,688.156730930158,688.418797392984,688.680863855809,688.942930318635,689.107622594142,689.272314869649,689.437007145156,689.601699420663,689.76639169617,692.197038043128,694.627684390087,697.058330737045,699.488977084004,701.919623430962,704.311285806244,706.702948181526,709.094610556807,711.486272932089,713.877935307371,715.237458448664,716.596981589958,717.956504731252,719.316027872546,720.67555101384
20,304,5,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.436569777921,651.002208593499,650.567847409076,650.133486224654,649.699125040232,649.937583907306,650.17604277438,650.414501641455,650.652960508529,650.891419375604,652.095106662375,653.298793949147,654.502481235919,655.706168522691,656.909855809463,658.008455712906,659.10705561635,660.205655519794,661.304255423238,662.402855326682
7,37,1,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
20,1,1,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.60702072739,650.369672932089,650.132325136788,649.894977341487,649.657629546186,649.540781235919,649.423932925652,649.307084615385,649.190236305118,649.07338799485,650.206002413904,651.338616832958,652.471231252012,653.603845671065,654.736460090119,655.864858867074,656.99325764403,658.121656420985,659.25005519794,660.378453974895,661.34566517541,662.312876375925,663.28008757644,664.247298776955,665.21450997747,665.493478307049,665.772446636627,666.051414966205,666.330383295784,666.609351625362
27,503,7,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
20,14,2,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.60702072739,650.369672932089,650.132325136788,649.894977341487,649.657629546186,649.543099839073,649.42857013196,649.314040424847,649.199510717734,649.084981010621,649.701432925652,650.317884840682,650.934336755713,651.550788670743,652.167240585774,652.650803315095,653.134366044416,653.617928773737,654.101491503058,654.585054232379,655.885440489218,657.185826746057,658.486213002897,659.786599259736,661.086985516576,662.082312906341,663.077640296106,664.072967685871,665.068295075636,666.063622465401
20,368,5,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.795259864821,650.746151206952,650.697042549083,650.647933891213,650.598825233344,650.508921306727,650.419017380109,650.329113453492,650.239209526875,650.149305600258,649.994405761184,649.839505922111,649.684606083038,649.529706243965,649.374806404892,649.472791503058,649.570776601223,649.668761699388,649.766746797554,649.864731895719,651.009232281944,652.153732668169,653.298233054393,654.442733440618,655.587233826843,656.953319794014,658.319405761184,659.685491728355,661.051577695526,662.417663662697
