ModelID,ScenarioID,Temperature,Year,Total electricity generation,Coal capacity,Gas capacity,Oil capacity,Solar capacity,Wind capacity,Nuclear capacity,Hydro capacity,Biomass capacity,Electricity trade,Storage capacity,Carbon sequestration,Afforestation,GDP,Population,Water consumption,Investments in EST,Investments in ETD,Coal power,Gas power,Oil power,Solar power,Wind power,Nuclear power,Hydropower,Biomass power
20,1,1,2050,81.834,887.6696,65.3449,10.2941,4001.4619,3152.0399,244.7273,500.2854,116.1051,-0.3691,1187.3956,4586.4614,490.4889,73640.5277,1283.792,34.535,10.7766,380.0121,10.7668,1.263,0.1625,23.2192,30.0775,4.0667,6.3006,2.8999
20,14,2,2050,80.2569,886.3408,63.1006,10.298,3901.4569,3076.439,239.7067,500.2854,97.9235,-0.3523,1157.195,4419.9265,478.4659,73953.8637,1283.792,34.3576,10.7611,374.945,10.9193,1.2305,0.1619,22.6983,29.478,3.9916,6.3006,2.4818
20,41,2,2050,78.2913,1001.3241,68.9167,11.4124,3614.3932,2823.8062,222.6254,500.2854,64.6432,-0.3448,1043.1188,4840.0836,466.3168,74177.2449,1283.792,35.6791,12.8441,421.9047,13.0904,1.3575,0.1896,21.2033,27.4748,3.8341,6.3006,2.1893
20,60,1,2050,83.8008,876.1309,67.7235,10.3317,4109.4829,3230.5829,249.832,500.2854,149.5468,-0.3882,1217.9834,4861.6262,498.4169,73304.3163,1283.792,34.7928,9.7992,371.0067,10.4727,1.2821,0.1615,23.7817,30.7003,4.1505,6.3006,3.7921
20,99,2,2050,75.5812,1128.2801,73.4477,12.956,3248.6533,2499.4513,200.4092,500.2854,46.2507,-0.3382,897.7782,5450.6203,453.2935,74633.5397,1283.792,37.3531,11.4009,393.3031,15.5444,1.4468,0.219,19.1853,25.1311,3.5895,6.3006,1.9396
20,101,3,2050,72.7229,1210.6077,76.6532,14.3776,2959.3867,2252.7735,182.3419,500.2854,39.1058,-0.3323,786.6273,5949.2463,440.1292,74915.527,1283.792,38.5979,8.7469,363.5114,17.2781,1.5099,0.2459,17.5002,22.7976,3.3742,6.3006,1.8068
20,123,3,2050,81.2426,888.1173,64.3918,10.3029,3964.4445,3124.1932,242.8913,500.2854,109.3676,-0.3631,1176.2488,4517.3269,486.9174,73755.8081,1283.792,34.4789,11.0028,382.5556,10.8338,1.2523,0.1625,23.0264,29.8567,4.0391,6.3006,2.724
20,152,3,2050,80.6685,889.7403,69.3546,12.272,3913.0868,3076.0342,239.619,500.2854,73.7277,-0.3702,1157.3203,3689.0485,367.9698,73372.7489,1283.792,33.8825,6.798,328.2687,11.1399,1.3662,0.193,22.7589,29.4748,4.0037,6.3006,2.44
20,158,3,2050,79.3087,941.8068,65.7314,10.6828,3765.1921,2956.1957,231.6485,500.2854,75.5109,-0.3471,1102.5631,4569.1847,469.8597,74061.2597,1283.792,34.9197,12.3065,406.4534,11.9722,1.2948,0.1751,21.9887,28.5245,3.9197,6.3006,2.3033
20,165,3,2050,76.9683,926.4139,70.7174,12.272,3582.8732,2807.0055,221.3102,500.2854,63.4336,-0.3448,1042.8213,3733.6733,369.1466,74198.0396,1283.792,34.4899,7.2727,309.3349,12.2118,1.393,0.2039,21.0392,27.3415,3.7824,6.3006,2.0349
