ModelID,ScenarioID,TemperatureID,tkID,tkYr,tkUR,edID,edYr,edUR,maxUR
20,368,5,12,2025,0.0253201772013153,37,2050,0.159747478991597,0.61258875739645
20,384,5,11,2025,0.0153602210449397,36,2050,0.166179183412495,0.612573964497041
20,358,5,11,2025,0.0153602210449397,36,2050,0.163922816952868,0.612573964497041
20,314,5,13,2025,0.0268374497625137,38,2050,0.163191039459262,0.612603550295858
20,347,5,12,2025,0.0253201772013153,37,2050,0.159747478991597,0.61258875739645
21,436,6,14,2025,0.0285061618524788,39,2050,0.0632760114575722,0.612618343195266
25,350,6,13,2025,0.0224656469855903,38,2050,0.096932435932933,0.612603550295858
20,381,6,11,2025,0.0153602210449397,36,2050,0.149266477895506,0.612573964497041
27,383,6,13,2025,0.0241207670546989,38,2050,0.0883681855151198,0.612603550295858
25,462,7,13,2025,0.02235341795091,38,2050,0.0724265698233268,0.612603550295858
25,493,7,13,2025,0.0217600185852831,38,2050,0.0718047114502221,0.612603550295858
11,497,7,14,2025,0.0297405644866642,39,2050,0.0676947296309828,0.612618343195266
11,478,7,14,2025,0.0297405644866642,39,2050,0.0676947296309828,0.612618343195266
27,503,7,13,2025,0.022711011324218,38,2050,0.107239104031558,0.612603550295858
21,473,7,14,2025,0.0298015448919038,39,2050,0.0642054506245433,0.612618343195266
27,478,7,13,2025,0.02240051001931,38,2050,0.0764130943223077,0.612603550295858
27,463,7,13,2025,0.0222763532611372,38,2050,0.0683487992152534,0.612603550295858
20,462,7,10,2025,0.0110043569601754,35,2050,0.0300415966386555,0.612559171597633
27,449,7,13,2025,0.0241207670546989,38,2050,0.0903022216975275,0.612603550295858
25,381,7,13,2025,0.0228777220966087,38,2050,0.0916460042109574,0.612603550295858
2,531,8,13,2025,0.0235298045305079,38,2050,0.0134070971867008,0.612603550295858
2,533,8,13,2025,0.0234706613080015,38,2050,0.0311565674095725,0.612603550295858
40,536,8,0,0,0,0,0,0,0.612603550295858
2,537,8,13,2025,0.0235533065400073,38,2050,0.0117904092071611,0.612603550295858
21,538,8,14,2025,0.029261136095063,39,2050,0.0260895438593236,0.612618343195266
40,539,8,0,0,0,0,0,0,0.612603550295858
40,540,8,0,0,0,0,0,0,0.612603550295858
40,541,8,0,0,0,0,0,0,0.612603550295858
